Block Hash: 09ae2a4e1ae5d0882bda12ee2fceab5267c1e705deabdbdef78cab3e4ca6fad0
Previous Hash: 695e9e179ecc5d8d4d3f5627740952b5ff878c60b2d8797c23102d9cd82c875a
Merkle Root: bb1de8dbae0d8d0cb0782c00a2616fee8cfba0788ec2c99c454846cebccc5527
Random Number: 114131834
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Alice sends $21 to Emily
- Emily sends $13 to Bob
- Emily sends $16 to David
- Emily sends $39 to Bob
- Emily sends $41 to Bob
- Emily sends $29 to Bob
- David sends $15 to Bob
- Emily sends $17 to Charlie
- Bob sends $37 to David
- David sends $33 to Alice
==================================================
