Block Hash: 9e90a0661afeb4a412caefa3d5d281f67241d3f648564f480b1b0ea9bad35328
Previous Hash: 328479e221dfcf1cc8c7f91d70568cd325d585cd5de296b1e3ef46d4acbf7602
Merkle Root: 70652cbc95ec504ea0fed09da2d32299693f388ef036bb94756236074afd96ef
Random Number: 467626772
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Bob sends $28 to David
- Alice sends $47 to Charlie
- David sends $31 to Emily
- David sends $37 to Bob
- Emily sends $22 to Charlie
- Charlie sends $42 to Alice
- Emily sends $48 to Alice
- David sends $30 to Charlie
- Alice sends $18 to Bob
- David sends $44 to Alice
==================================================
