Block Hash: 9a18a53e925cdf4d7df2b428581b91b9e1eeebccf1d5e722a04de7bcd0ad793a
Previous Hash: ec9a4e1cee1f94e3046045756d878fdcc58714fcb8301d90f2086350e8deace8
Merkle Root: b5efbd4da67ea894a42143297530fd29a224009ab9838bf5c4452060a0c17527
Random Number: 412163625
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Alice sends $28 to David
- Bob sends $14 to Charlie
- Bob sends $23 to Charlie
- Bob sends $11 to Emily
- Charlie sends $24 to Bob
- David sends $34 to Charlie
- David sends $38 to Emily
- David sends $21 to Emily
- Bob sends $34 to Emily
- Bob sends $28 to Charlie
==================================================
