Block Hash: 6badd6ead635dd92f2bf3e3f4526d233f03ce8817ce28d89d953090a214443a7
Previous Hash: 6909da9b5b8ce9d2a89e972da0a9659bf6ad20595fbe4361b34e870e1c14fbbe
Merkle Root: 96ee652aea163a73617e9e46945128dee98a23855451630cc6b8aed4e466709b
Random Number: 727361335
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Alice sends $12 to Emily
- Charlie sends $47 to David
- Charlie sends $15 to Bob
- David sends $27 to Alice
- Charlie sends $17 to Alice
- Bob sends $10 to David
- Bob sends $35 to David
- Charlie sends $15 to David
- Emily sends $38 to Bob
- David sends $50 to Alice
==================================================
