Block Hash: 0eae65496fa431c8bb6a3484d678230ef5ccc6edbcfca250bb3521351c619778
Previous Hash: f2a1de0303d3060fd0cb9f456aecba2102eaf35d89593003f7a305d83137b7e6
Merkle Root: d26b28b8ed84ac6a50901747d151ddc5d732dc8928b29c34a76e43e05219b8c7
Random Number: 150612135
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- David sends $20 to Alice
- Bob sends $22 to Emily
- Emily sends $30 to Bob
- Emily sends $18 to Bob
- Bob sends $24 to David
- Emily sends $13 to David
- Alice sends $27 to David
- Emily sends $15 to Charlie
- Bob sends $34 to David
- Alice sends $19 to David
==================================================
