Block Hash: a0f2f86e813b976ace2bd1f6da9e77ba6d77f4eb09c95c24ae51b4dcd0e66775
Previous Hash: 7d72173f8f7b37e165debeff1a59ffd241e979b3ef39c43da18244ef461bd792
Merkle Root: 0506e66a757e0499f396e8fe54e9690088c7fcdf0d83511849be1718d64250b1
Random Number: 497517001
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Bob sends $27 to Alice
- Alice sends $29 to Charlie
- Emily sends $23 to Charlie
- David sends $12 to Charlie
- Alice sends $49 to David
- Emily sends $42 to David
- Charlie sends $11 to Bob
- Alice sends $43 to David
- David sends $16 to Bob
- Emily sends $18 to Bob
==================================================
