Block Hash: aa4fb103d68afa96c09bfdd2acb8065487f2bb4dc9d6bdbb3692b551bda293c3
Previous Hash: 3ffff70d435705e272a25be45243497ae98e9f7435e8a1e8ad87db3144ab6779
Merkle Root: 76f38d742f961d79b17df3c1931a39e78826d48c6cae1a290d614022d364d6a0
Random Number: 877007464
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Charlie sends $48 to Emily
- Bob sends $45 to David
- Bob sends $31 to Charlie
- Bob sends $22 to David
- Alice sends $50 to Charlie
- David sends $30 to Alice
- Alice sends $44 to Charlie
- Alice sends $36 to Bob
- Bob sends $47 to David
- Emily sends $30 to David
==================================================
