Block Hash: 9b94bb9fe84f66a1704492cae461957cceb0dd00f626035dfba7d67421846761
Previous Hash: 2e9edbc19f53af72e4a2259579d371027fb92877539d73830ff857dcc747dced
Merkle Root: 0be22020d999a7fc366a666e9f4e9789b70ea87eb60a29c02cf57ab8752c0d0f
Random Number: 545706346
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Alice sends $24 to Charlie
- Bob sends $46 to Alice
- Emily sends $45 to Bob
- Charlie sends $25 to Bob
- Emily sends $12 to Alice
- Bob sends $28 to Emily
- Charlie sends $10 to Bob
- David sends $44 to Alice
- Bob sends $34 to Emily
- Emily sends $15 to Bob
==================================================
