Block Hash: 4c2b12820813dfc306c09111af4daf514127e9cdedefb1163179438c7e22358c
Previous Hash: 29efe574e5b3fda9c2ba33a95b70649eac473b0a892a716791eb5c7789c8f381
Merkle Root: 81c6c36c5b56bca788950a45a4934f01dfa337de25fda1fe57387ed68c211623
Random Number: 403979947
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Charlie sends $24 to David
- David sends $39 to Emily
- David sends $43 to Charlie
- David sends $10 to Charlie
- Alice sends $47 to Charlie
- Bob sends $41 to Charlie
- Bob sends $16 to Emily
- David sends $37 to Emily
- Bob sends $20 to Charlie
- Bob sends $25 to Emily
==================================================
