Block Hash: 18f88a5c9cf4d3f3dcf7e39b33910fec05baa36d0769ddea3ce976d524a3e380
Previous Hash: f4b6517164c6bf73e8ad27f9141ccd48a4173ca1525ddcd61f61c55362c9fb81
Merkle Root: 08b6981de1ce7394b089a7d6a98513b6a59e2c3a86829c4cbefc2a02729b56c6
Random Number: 164127636
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Charlie sends $35 to Emily
- Emily sends $30 to David
- Alice sends $45 to Bob
- Bob sends $39 to Charlie
- David sends $46 to Bob
- Bob sends $35 to Charlie
- Bob sends $17 to David
- Emily sends $47 to David
- Alice sends $45 to Bob
- Emily sends $37 to Alice
==================================================
