Block Hash: f7c1397571ec5faf94e17e4d4081257ece8c6e934ec6ae0e966c09a5137e61ea
Previous Hash: 6f246055112e7e915e6793807ae88ee3bbfe87adf7cd7410d7f16319fc21ed4c
Merkle Root: 9f7b4f4a5acaa2791ce64842b116ba9e8d0d040e55126b01e96e60f4397611f9
Random Number: 894087371
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Alice sends $35 to David
- David sends $22 to Emily
- Charlie sends $17 to Bob
- Charlie sends $46 to Emily
- Bob sends $31 to Emily
- Emily sends $13 to Bob
- David sends $49 to Charlie
- David sends $48 to Alice
- Emily sends $22 to Alice
- Bob sends $33 to Emily
==================================================
