Block Hash: bdaa0c3e88b5e56d4b7c01cabb04838802be1113ef8db025ad19458fbb841e9f
Previous Hash: 0e3ba4b3e239261fb2c4ba501d4358134e4c6e3412db42ba046706c81ab3625f
Merkle Root: fdbedc11b1cb07b93a5f9672813f4e071721cde94223d2310876269b4367965a
Random Number: 560770722
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $16 to Alice
- Charlie sends $29 to Bob
- Bob sends $39 to Emily
- Bob sends $28 to Emily
- Alice sends $29 to Emily
- Alice sends $27 to Emily
- Bob sends $48 to Emily
- Bob sends $37 to Charlie
- Charlie sends $16 to Bob
- Alice sends $10 to Bob
==================================================
