Block Hash: 4ea60493978551f369ffe44218891a0a1d145d6e5645da48d10efb962dcbe12d
Previous Hash: f9916371a61acc968917ec64e961ab9c99b66bf98bddac89bbfe89c957d7317d
Merkle Root: b78982ba2d80491c6d92d861a148390ac9827cb7f5bf406fc3f167d9b18f845b
Random Number: 921756826
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Emily sends $47 to Bob
- Charlie sends $30 to Emily
- Bob sends $10 to Emily
- Alice sends $15 to Charlie
- David sends $47 to Alice
- Bob sends $31 to Alice
- Alice sends $28 to David
- David sends $36 to Charlie
- Charlie sends $23 to Emily
- Alice sends $12 to Emily
==================================================
