Block Hash: de121643ed7202ea8d378a6f69394b4ba6406a51ac7febb9ae53e82c60d64d35
Previous Hash: 8f2c41e0685affc7ada346229486f378dd0bc389f77c4020f9a962494e10773c
Merkle Root: e00b0bd22745b860c5c660d71bdfd97eb6b483a770550d41a2ad39801b8ae8a7
Random Number: 944427264
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $32 to Emily
- David sends $33 to Bob
- Charlie sends $20 to Alice
- Charlie sends $22 to David
- Emily sends $37 to Bob
- Alice sends $15 to Bob
- David sends $22 to Charlie
- Charlie sends $32 to Bob
- Emily sends $12 to Charlie
- Charlie sends $12 to Bob
==================================================
