Block Hash: 5b849c110247ec2e90789b56f49ace06eb6ebaed265984693d5421b17b3e699e
Previous Hash: 801f0bf758453634e2e646787cfa4bdba68145410e50c26b0335f1acc0bbf915
Merkle Root: e1964df0104ff9b4f5187f0eb913c03c83d3585f39690123282f3ec69ca5024e
Random Number: 805335504
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Bob sends $35 to Emily
- Emily sends $30 to Charlie
- Emily sends $16 to Alice
- Charlie sends $49 to Alice
- Charlie sends $27 to Bob
- David sends $12 to Alice
- Charlie sends $28 to Alice
- Alice sends $40 to Charlie
- Charlie sends $25 to Alice
- Alice sends $27 to Charlie
==================================================
