Block Hash: d65b268232f8e9d5636efc65b83d320ec92889956e3a909ff48484f676ef705e
Previous Hash: 11ab5acd5f66d60d9fe443dfaa342dc59861c97c385da05b2f1fac44118ee392
Merkle Root: 4239c6d169a752fa4eaf17cd705f21131fca013494fc5d6d55401689ffaf0a20
Random Number: 486642735
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Charlie sends $38 to Alice
- Alice sends $16 to Emily
- Emily sends $13 to David
- Bob sends $26 to Charlie
- Emily sends $44 to David
- Alice sends $33 to Bob
- Emily sends $39 to David
- Bob sends $22 to Charlie
- Emily sends $15 to Charlie
- Alice sends $17 to Charlie
==================================================
