Block Hash: 3ef5968a96c70733f1d1a74b9250453dfbb2e7b01bf485435233c069fe2ef434
Previous Hash: c164aa34b8e15e264e06fe0d42be993aeedd151f30e3a7cddaa109f60430515c
Merkle Root: 22723123c0f62463a328daa88e372fedd3e34e439e59ab44423fdcd198327628
Random Number: 366673397
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- David sends $24 to Alice
- Bob sends $31 to Emily
- Bob sends $31 to David
- Emily sends $29 to Charlie
- Emily sends $10 to Bob
- Alice sends $19 to David
- Emily sends $34 to Charlie
- Emily sends $33 to Bob
- Alice sends $13 to David
- Alice sends $50 to Charlie
==================================================
