Block Hash: 56f5ccf9dc9257f2cf67d2ec13f0bd5c82c0f75af9bb91859854ce4f60078c43
Previous Hash: 7d4161cfeac1f8b5416c4762d0f645f5a7766d7baea777cdb7366e9ba37dcff9
Merkle Root: 1d7962c499c20f13c835821807b8ba4410cd0cab9f3d504195c44fcf56741dfc
Random Number: 172537193
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Emily sends $28 to Bob
- Bob sends $28 to Emily
- Bob sends $28 to Emily
- Charlie sends $23 to David
- Charlie sends $32 to Alice
- Charlie sends $39 to Emily
- Bob sends $27 to Charlie
- Alice sends $48 to David
- David sends $20 to Alice
- Charlie sends $43 to Alice
==================================================
