Block Hash: 509994cb048eb0f3db8f883661abddc8f8e23ffea3ea2575a7a4e744afda53e2
Previous Hash: e32107d1250889f6b22d4fa960982ab1b38615237ba7e68e94ddb8e845b8451f
Merkle Root: 2b84a4fa0ed8539c5e3c1135ffa1a2dcd72aea83bfb0b39613e7a32ccaa70752
Random Number: 277104316
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Alice sends $38 to Emily
- Emily sends $32 to Charlie
- Charlie sends $16 to David
- David sends $20 to Charlie
- Charlie sends $42 to Alice
- David sends $23 to Alice
- David sends $20 to Charlie
- David sends $37 to Alice
- David sends $30 to Bob
- Emily sends $28 to Alice
==================================================
