Block Hash: d4d7b2793ec323215165a4c6e485a77b733161cd077dc695c7230baa99fac42d
Previous Hash: e063bc67f80d58216eb5661ecfce3bfa7d8d46dfcfddc4576c97c914b6a7c9e6
Merkle Root: fa393b0ea572beb643b394cf35a7a93143e931683e75859778ed53e33070c65a
Random Number: 496250911
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Alice sends $19 to Charlie
- Emily sends $28 to David
- Charlie sends $12 to David
- Bob sends $20 to David
- Charlie sends $33 to David
- Emily sends $40 to David
- David sends $12 to Bob
- David sends $14 to Alice
- David sends $22 to Alice
- Bob sends $26 to Emily
==================================================
