Block Hash: 2990c1de927d287e6c6f57e1d6fe76681bfea4091cc5a4778da330c12fff7171
Previous Hash: b32bc7b78b4b1d36fe09793222c4c6eef43ce04dbfa6eba780450e8478292069
Merkle Root: 21b6d01c35b47ddc7af7d48de7370a09d3e0ce33dec889c4d719ee8a6609085f
Random Number: 395686091
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Alice sends $39 to Bob
- David sends $47 to Emily
- Emily sends $39 to Alice
- Charlie sends $17 to Alice
- Charlie sends $22 to Alice
- Bob sends $25 to Emily
- David sends $20 to Alice
- Charlie sends $20 to David
- Bob sends $45 to Emily
- David sends $13 to Alice
==================================================
