Block Hash: 28ad60cef2c51976c4b64197a515d490cd87e5270c547582f03aa6aa581d3389
Previous Hash: e77db504ff6debff4602ab7f15bf448621794717350101bf4e94b48a5ece7b16
Merkle Root: 7290a8db9a43adda35e49cc2756fddb0fd4ae28662a274f69d703c10ef35b607
Random Number: 98739836
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Charlie sends $44 to David
- Emily sends $26 to Charlie
- Alice sends $20 to Bob
- Emily sends $35 to Alice
- Alice sends $14 to Emily
- David sends $16 to Bob
- Emily sends $41 to Bob
- Alice sends $13 to Charlie
- Emily sends $48 to Charlie
- David sends $34 to Bob
==================================================
