Block Hash: 2808e2e1b9cd6b276d1ab38fc84d371dbd0a2d4c052900953af6913d5dfc4eef
Previous Hash: 7277ed1a122e5e838a64d0a02a2e2d6fc3c54f40c7000cfeacaa3fca7e9410e7
Merkle Root: 24166fc706e08f01cbe4294a6d6012b38635c4663d1725b16448c203596decf2
Random Number: 249092333
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Bob sends $47 to David
- Emily sends $12 to Bob
- Alice sends $38 to Bob
- David sends $29 to Charlie
- Emily sends $31 to Charlie
- Charlie sends $10 to Emily
- David sends $19 to Bob
- Alice sends $39 to Charlie
- Charlie sends $18 to Alice
- David sends $42 to Charlie
==================================================
