Block Hash: 46e0a284b0295b68d5ce8faa7925196010adad69ac6b2081c71bbcd8fddc72d4
Previous Hash: 5c94fc9e41d72712fa74c837c7859aec7650e97bad7ee8f91dcf0a7fcc2fc305
Merkle Root: 67127dfc63bdfba5862ed242082f561193914c150695ea0f379dbe9f3953a89e
Random Number: 787294680
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $38 to Charlie
- Bob sends $10 to Emily
- Bob sends $40 to Alice
- Bob sends $44 to Alice
- Charlie sends $46 to Alice
- Alice sends $22 to David
- Emily sends $36 to David
- Charlie sends $16 to David
- Alice sends $40 to Bob
- Emily sends $32 to Bob
==================================================
