Block Hash: b8091d8e337b9248a4267651b53e821ab3bc4ef71395a649cce65756887836a3
Previous Hash: 794c97667d408ec1ab9b864edc513a0cc5e8f107c28e16224b36a0778d006b6e
Merkle Root: d3c308ff0950240de12f5a74c01a8d3f295ba1c036622b08a28fa3ec018ec83d
Random Number: 4843821
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Alice sends $20 to Bob
- Charlie sends $28 to Emily
- David sends $15 to Alice
- David sends $41 to Emily
- Bob sends $15 to Charlie
- Bob sends $45 to Emily
- Emily sends $27 to Alice
- Emily sends $20 to Charlie
- Emily sends $20 to David
- David sends $31 to Alice
==================================================
