Block Hash: ef575a44a7bd74f577da26498261ac80632a349194d3e49461d1e7b93e4bdb99
Previous Hash: f245fd2b4be6c3547d7ac33b42cd5216e2e1796763bbbf111dfd4c80035d8bcd
Merkle Root: 2d092c2c3a6ec05abfd111dd912abd24241fe5c653ad4771860a63e2e0e8c63e
Random Number: 765427578
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Charlie sends $35 to Emily
- Alice sends $28 to Bob
- Alice sends $28 to David
- Emily sends $48 to David
- Emily sends $23 to Charlie
- Emily sends $42 to Alice
- Emily sends $22 to David
- Emily sends $49 to Alice
- Alice sends $11 to David
- Emily sends $26 to Bob
==================================================
