Block Hash: 63c189aef053e42b9d896d7c264e0612685e4776fdaf524e5480092b8d7ceab4
Previous Hash: ea864f18897c383bb25008eb7ef0515a7a2cb26ba3b72e66c09cb81b5c0e1fa8
Merkle Root: 2cd48032eb3fc42eb115e179699e007084e0d6b71f64284339663172bdf6351c
Random Number: 856060934
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Alice sends $28 to Emily
- Charlie sends $50 to David
- David sends $36 to Alice
- Bob sends $35 to Charlie
- Emily sends $28 to David
- Bob sends $22 to David
- Bob sends $35 to Charlie
- Emily sends $29 to David
- David sends $18 to Alice
- Charlie sends $47 to Alice
==================================================
