Block Hash: 46fdf72d3240396098529f2a352800b9d0cd9e9456c32d88a333acb9d384e0a3
Previous Hash: c3696fc02978a5dea291b6e5fca25f2e5b22f7724c26d9be09b9c9bdad5b0455
Merkle Root: cddc86668c168f73a5acfe694c905b43d40afb5bbefc1a6f3f3f64f42ccb4a64
Random Number: 587994762
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $38 to Bob
- Charlie sends $27 to Emily
- Charlie sends $21 to Emily
- Bob sends $39 to Emily
- Bob sends $23 to Emily
- Alice sends $47 to Emily
- Charlie sends $42 to Alice
- Alice sends $20 to Charlie
- Charlie sends $43 to David
- Bob sends $44 to David
==================================================
