Block Hash: 5b27b597166862a7f7ccf9fe9bf92708b1aea887ae7e10982ff03ffcebddc2c3
Previous Hash: 7c54892eaa00f683e227c6a16134dfc586785ebb4f0af536c7754234c1272dc7
Merkle Root: 93d63cb1ba80c0578e736623a1b47fc41386c1a5d406475f803f6a197d690a6a
Random Number: 714030400
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $25 to Emily
- Bob sends $10 to Charlie
- Bob sends $17 to Alice
- Alice sends $30 to David
- Emily sends $20 to David
- Charlie sends $14 to David
- Bob sends $40 to Charlie
- Bob sends $48 to Alice
- Emily sends $23 to Bob
- Alice sends $22 to Charlie
==================================================
