Block Hash: a5327155d0e72ccfe05540aec476238eb3bee2e24b9b956e4903f148d801e648
Previous Hash: b7cce010c9b4b05210bb91e13fb09d3427b97ea544d06fb4ba555a426ad117d6
Merkle Root: 0df79315a8d2aeb1d8473609542e45aacb3951e1b53249a33795a5822580a961
Random Number: 39083456
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- David sends $28 to Emily
- Bob sends $11 to Charlie
- Emily sends $15 to Alice
- Alice sends $30 to Bob
- Emily sends $47 to Charlie
- Bob sends $24 to Charlie
- Alice sends $47 to Charlie
- Charlie sends $49 to Bob
- Emily sends $45 to David
- Emily sends $15 to Alice
==================================================
