Block Hash: b3b692945df66b7a8ae0bd15fac16f40d1cc4d883c7bbc5a6b650136f814e0ee
Previous Hash: e8bdb3151dd544b995352fda88f21a84f309cac7671914ff6d29c2d5ec071e64
Merkle Root: c622edc9d3a82bfb45c740708f2e18c39ccabbbb409854ea259442b7c6ba6085
Random Number: 370213028
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- David sends $36 to Charlie
- Emily sends $42 to David
- Alice sends $42 to Emily
- Bob sends $37 to Alice
- Bob sends $22 to David
- Bob sends $30 to Emily
- Charlie sends $13 to David
- Charlie sends $15 to Emily
- Emily sends $45 to Bob
- Charlie sends $10 to Alice
==================================================
