Block Hash: 3ca1a4a9b10510bfc6076ce6467b2d0ed3586e35173e16c1381245ca06f5189a
Previous Hash: 3b062f4db9bfb90827210cd744dadb4a8291c0f62f9db0940b105f117921ec62
Merkle Root: 8d7ac7397045efabac3345fd49214f3bf3223c81a47dd593bf78bc48a74cb907
Random Number: 562392026
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Charlie sends $24 to Bob
- Alice sends $46 to David
- Bob sends $14 to Alice
- Emily sends $17 to Alice
- Emily sends $17 to David
- David sends $40 to Emily
- David sends $49 to Charlie
- Emily sends $41 to Alice
- Bob sends $29 to David
- David sends $13 to Alice
==================================================
