Block Hash: 67333dba8d9270657f23512ba7fa09474520fe7f8fa85040537aa5cbd13ed5a5
Previous Hash: 296c7fc136ef91608180de061932f855be9cd616e9cd6f7b34c707239de3674d
Merkle Root: 544bf6469c92be21e5098fdba50440182f6dc1d565ff9c9dcf811b176a9e5c83
Random Number: 534896597
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Bob sends $31 to David
- Charlie sends $13 to Bob
- Charlie sends $21 to Alice
- Emily sends $49 to Alice
- Emily sends $25 to Alice
- Alice sends $29 to Bob
- Emily sends $25 to Charlie
- Alice sends $49 to Bob
- David sends $11 to Bob
- Emily sends $38 to Charlie
==================================================
