Block Hash: 9b3fa5f18ff7d4cd5f5c4e7ab59882d3feaa795af5ed7ef47a2e10d2a49dc4f4
Previous Hash: 0b896e20ba1ca92c3399ec762704b5cdf59f188abef0f38e74b91ee86fe37f46
Merkle Root: 90bc7871981fff4c228382dc89428b6dd11eb47df7d9a105d6d8fde5268fb4ae
Random Number: 145311272
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Charlie sends $47 to Bob
- Bob sends $41 to Alice
- David sends $26 to Emily
- Alice sends $50 to David
- David sends $39 to Alice
- Emily sends $28 to David
- Bob sends $30 to Charlie
- David sends $28 to Alice
- David sends $23 to Alice
- Bob sends $26 to David
==================================================
