Block Hash: aa2eef67d409a169684429a882c6c8024c45a94cf2d8be195c4ef98b48d69b8b
Previous Hash: 2fc690ad3619baa8349a04d251f3ed281c533227061a5b1254d287fb86df9e6f
Merkle Root: 915ea23becc879b93427768a045403643b8c10d6c166c59d43f385bf70b16baf
Random Number: 839688756
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $26 to Emily
- Bob sends $14 to Charlie
- Charlie sends $36 to Bob
- Emily sends $10 to David
- Alice sends $28 to David
- Bob sends $28 to Charlie
- Bob sends $27 to Charlie
- Bob sends $19 to David
- Emily sends $28 to Bob
- Charlie sends $14 to David
==================================================
