Block Hash: bc582c35f1a51e3bd747a2bb5b7d158f2a8b04db15c44534a471a07b7226c171
Previous Hash: f4d064b2c8e9d17be8342c9885fd7a7fb6395bcd334ab24b42b51fa65a884cc7
Merkle Root: 0835f38e7ffe99d2c0e8bb0a9d628a8407914fce0f425c4b85dac4735cfb95e3
Random Number: 259984659
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $27 to Emily
- Emily sends $38 to David
- Emily sends $12 to David
- Charlie sends $28 to David
- David sends $26 to Bob
- Alice sends $10 to David
- Charlie sends $45 to Alice
- Charlie sends $23 to Alice
- Charlie sends $19 to Alice
- David sends $36 to Alice
==================================================
