Block Hash: b81ed663a55176b4d840521f78810c5a57a2bdf0bbd3e043707c8129dc8a3267
Previous Hash: 36857d24626ce57eb0522feb4ccf3a2705be3eac96d978f2634147361879996b
Merkle Root: 0c4ace5e812c4d0361723378e4eff13638835271619c96068c747f29d093da64
Random Number: 339821621
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Alice sends $10 to David
- David sends $26 to Alice
- Bob sends $26 to Charlie
- Bob sends $27 to Alice
- David sends $33 to Charlie
- Charlie sends $29 to Emily
- Emily sends $26 to Alice
- Charlie sends $37 to Emily
- Charlie sends $34 to Emily
- David sends $11 to Bob
==================================================
