Block Hash: be0f26fb2748947b56bc0420d22246c5a54d55b8c6903126e1be26c4f359fdaa
Previous Hash: 284b38b6b9d11f3ac5a026038bc9b1477288d8b624d523e863e2dc397d2c11f4
Merkle Root: b9e24af2f4c62e2f449c18c37e7f6aff3d687a58aa8bfb24208a38f6cb32826e
Random Number: 95161895
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $42 to Bob
- Alice sends $16 to David
- Bob sends $48 to Charlie
- Alice sends $46 to Emily
- Bob sends $40 to David
- Alice sends $31 to David
- David sends $10 to Charlie
- Bob sends $42 to Emily
- Alice sends $36 to Charlie
- Bob sends $28 to Alice
==================================================
