Block Hash: b0ce52bcd04e8c2be0b3001bff95f8c203ed17c68cb2a23e092467593371f8c9
Previous Hash: 7d7f536afee8a3dd59782a65c099a5bebfaa9107b540f7b58627a82cc676c64d
Merkle Root: dc9130513741d57d011f26716d9b101a7d98836ec27b8b4ee775f125f0745d8a
Random Number: 72857630
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Charlie sends $19 to David
- Alice sends $37 to Emily
- Emily sends $27 to Charlie
- David sends $37 to Emily
- Emily sends $50 to Charlie
- Bob sends $41 to Charlie
- Alice sends $43 to Bob
- Emily sends $47 to Bob
- Emily sends $25 to Charlie
- David sends $12 to Emily
==================================================
