Block Hash: 9984d96d484e5b93391b0c54427999337c942cca21e03906ca3f07f1f77ffbf3
Previous Hash: 030e84efbcbbf78fe81860751b68884660de3624b9815f2660078b4dedeaefd2
Merkle Root: ee1bd6ad98243bdfa0f3557fa24ac21d7cf59c7753745a3712f9fb0690969e13
Random Number: 867685199
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Bob sends $49 to Charlie
- Alice sends $21 to Emily
- Alice sends $26 to Emily
- Alice sends $44 to David
- Charlie sends $18 to Alice
- Emily sends $12 to Alice
- Charlie sends $17 to David
- David sends $38 to Bob
- Emily sends $16 to David
- Emily sends $45 to Bob
==================================================
