Block Hash: 1a6ef0db114ca2b5208b1d71ba601c0aa9e6a5a02d89bf4d5d6195ac0307a86c
Previous Hash: 2d3988f4e922165532eb2988a3da4bfe4634b187f0baa92cce559516f22e5797
Merkle Root: db1609949f87115087eea2b7ac183936aedcf184f8319f7186faa4d6d3ca13c8
Random Number: 596471317
Forward Hash: 0
Timestamp: 2023-11-17 11:13:00
Transactions:
- Charlie sends $28 to Alice
- Emily sends $11 to David
- Bob sends $41 to Emily
- Alice sends $22 to Bob
- Alice sends $48 to Bob
- Emily sends $18 to Bob
- Bob sends $46 to Charlie
- David sends $21 to Charlie
- Alice sends $40 to Charlie
- David sends $31 to Emily
==================================================
