Block Hash: c9873f6541c154d587289edf5365b2ee20abcb397619baab713afa0491b736f0
Previous Hash: 03192e9d06fa3933c53432b4b9d50ac84e0d135c99e7c9a7db8be9df52c06394
Merkle Root: d33b25ef38d002e0dd6d20ca1f335764724abda413e9b1cc2584c08e068b781b
Random Number: 110374827
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Bob sends $40 to Charlie
- Charlie sends $35 to Alice
- Alice sends $38 to David
- Emily sends $48 to David
- Emily sends $21 to Alice
- Alice sends $49 to David
- David sends $27 to Alice
- Charlie sends $47 to Bob
- Charlie sends $38 to Emily
- Alice sends $35 to David
==================================================
