Block Hash: f514523766d0f655afd60b98779ecb0439464d4706f2e33e884fbcb168eae16d
Previous Hash: 68a7bafa0fb7c10063d4c80bea9aa81581bec30aa1b4dc6b831fac974a4894e4
Merkle Root: 75292cc08f2487f8225e5d0cad7d5b8a0e1a509373696a35c42e6ae1b462bcb4
Random Number: 68404542
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Charlie sends $50 to Emily
- David sends $13 to Charlie
- David sends $16 to Alice
- Emily sends $47 to Alice
- Alice sends $11 to Bob
- Alice sends $21 to David
- David sends $31 to Alice
- Emily sends $20 to Charlie
- Alice sends $32 to David
- Bob sends $39 to Alice
==================================================
