Block Hash: 9135a2abe85c0b80080ad01c3a945fc187afd3c36a7ec05841d0094c16c5c158
Previous Hash: a232e11df5cf0699d6f8f053870256d6ab2a0d20ff535fd777fd52328416edc0
Merkle Root: cd25713a83671a57dc1023256b358899cc20305dd395f1e83fb44575686c1f21
Random Number: 909158383
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- David sends $27 to Charlie
- Alice sends $35 to Emily
- Alice sends $14 to Emily
- Alice sends $12 to Emily
- Bob sends $12 to Emily
- Bob sends $31 to David
- Charlie sends $48 to Bob
- Bob sends $11 to David
- Bob sends $21 to Alice
- Charlie sends $46 to David
==================================================
