Block Hash: 278ef00c0cc9094eb63c99e370acc86837e3ace86a3c3c394e464619d7412cb6
Previous Hash: 3c6220e38a86fe914506fb48e32ce4429a3631585ef8a10fa518f2da4a816b35
Merkle Root: 0378a9d62b96c5b290e05fccbc1ea98ef2d336b40977b3d1f764c03bba49d922
Random Number: 413450372
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Emily sends $31 to Bob
- Bob sends $12 to Alice
- Charlie sends $30 to Alice
- Alice sends $10 to Charlie
- Alice sends $23 to Emily
- Bob sends $11 to David
- Charlie sends $47 to Emily
- David sends $17 to Charlie
- Charlie sends $25 to Emily
- Alice sends $23 to Emily
==================================================
