Block Hash: a79e98657ca4ad4568cfcdc78a18296462f23502ba6031f9e315edad4305e99b
Previous Hash: 969961e9a3a4bbcddfb9637f09183878aa7617363d0dc03b2a0a50f53a7062a1
Merkle Root: 96e7a82f5c26d1eda5169c1fa27f7f2e8dca63584c453d189d4a5437ba549133
Random Number: 480635279
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Charlie sends $34 to David
- David sends $20 to Emily
- David sends $10 to Charlie
- Alice sends $45 to Charlie
- Bob sends $40 to Charlie
- Alice sends $49 to Charlie
- David sends $26 to Alice
- Alice sends $27 to Charlie
- Alice sends $36 to Bob
- David sends $13 to Charlie
==================================================
