Block Hash: aa2db7526759cab2a4eaa512c9c7106edbfe9135423a8df406278db5b182e217
Previous Hash: 44577e3a42ec3f283a88913333f9eec0db67b5ef3cb4cc76b700e16099aa746a
Merkle Root: a4ce707baa6fb98c14c575fc2b0660ea5a0235627213f33230c0e0b654dce479
Random Number: 239207669
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Bob sends $21 to David
- David sends $26 to Bob
- David sends $17 to Bob
- David sends $44 to Emily
- Alice sends $20 to Bob
- Emily sends $42 to Bob
- Emily sends $42 to Charlie
- David sends $10 to Charlie
- Alice sends $29 to Emily
- Charlie sends $15 to Alice
==================================================
