Block Hash: 0969d8d0c0eaa06c8179da8ac40e4287033285e4d15f9e954830649046c53ced
Previous Hash: 5e5344848d9f4d464e1b8fc9cb39faff23afd1f4930b522db0cb8288dd177a7c
Merkle Root: cf48c5cc4874009dc26c967defbf56da6f0ed88be6b1558a0405c3a8e459ac89
Random Number: 840991279
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Emily sends $41 to Alice
- Bob sends $29 to David
- Alice sends $11 to Emily
- David sends $41 to Emily
- Alice sends $13 to Charlie
- Alice sends $41 to David
- Alice sends $20 to Emily
- Alice sends $34 to Bob
- David sends $40 to Charlie
- Bob sends $44 to David
==================================================
