Block Hash: 6cfc75caa17f8640e18d0d74e87b2ba63c764b997b2fa71a4ef1c1ef0159a72a
Previous Hash: bc338d4ddd21e3493427e82f84ddd0a7b423a9b6e34669bf07fe3126303d0945
Merkle Root: ee51439507c0d004c9be6293755d7af91d7028cbc55bf4825d9acac9678d18b5
Random Number: 920697464
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Charlie sends $32 to David
- Bob sends $34 to Alice
- David sends $15 to Bob
- David sends $43 to Bob
- David sends $10 to Alice
- Alice sends $13 to Charlie
- David sends $12 to Bob
- David sends $46 to Emily
- Alice sends $28 to Bob
- Alice sends $14 to Emily
==================================================
