Block Hash: 31aea41e975bc1b3d286e8b3a6409a968a97074418b328de037b04911844ebcc
Previous Hash: 787fbde24ad19c841eedfbbcf4b61aaea76c44a0939d28fd0dd2a2740199e3a4
Merkle Root: 80a53ca1dba84044b333078552d6d5b1a8632588393485ad31be8c1766c5bb78
Random Number: 338927453
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Alice sends $12 to Emily
- Bob sends $41 to David
- Bob sends $41 to Charlie
- Emily sends $23 to Bob
- David sends $33 to Alice
- Charlie sends $25 to David
- David sends $37 to Bob
- Bob sends $33 to David
- Bob sends $47 to Alice
- Bob sends $13 to Alice
==================================================
