Block Hash: 472b81ad141584f23357639ff467ccab8659dab75cc32904fc509f15ecad0303
Previous Hash: 911a04c0a45865396942f320d63af7232491c7abb95afd0bce92f662292c67bc
Merkle Root: f56fb9faf69b0d448db7bb7fc25859da0b9691591723f49a38ef4f4c51bc4d94
Random Number: 117638802
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Bob sends $32 to Emily
- Charlie sends $10 to Bob
- Emily sends $13 to Alice
- Emily sends $21 to Bob
- Emily sends $36 to David
- Charlie sends $16 to David
- Emily sends $30 to Charlie
- Charlie sends $18 to Alice
- Alice sends $12 to Bob
- Charlie sends $46 to David
==================================================
