Block Hash: c8bae39bf5d17fbb2e8f36c03e3603686be0f16a42df753d95306845d04df4a0
Previous Hash: 8c36916f70b14effbf452fda6cd9f7b839656ec6d71b8b3238fb1ded09027a5d
Merkle Root: b42a726c185514d50589827719d8e6190d3e353d8dc1b942fba5f76c00aab48e
Random Number: 47496997
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Emily sends $33 to Charlie
- Alice sends $43 to Emily
- Alice sends $13 to David
- Alice sends $41 to Emily
- Charlie sends $47 to Emily
- Charlie sends $36 to Alice
- Charlie sends $42 to Emily
- David sends $31 to Bob
- Bob sends $35 to Emily
- Charlie sends $47 to Alice
==================================================
