Block Hash: b2498c533e9ae0ae1accab098afa7df0c4acc896eeb72505e2a0bd4b5076a5d9
Previous Hash: dadf3a2cf6392bba53207282efaa73c2f47742f18f7100e040e866c17f9ff691
Merkle Root: 0feff26d8a43caefab12be36445549a4fd1cabddf1faf1becc66cf7ea506e180
Random Number: 554541949
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Alice sends $48 to David
- Charlie sends $23 to Emily
- Bob sends $36 to Emily
- Emily sends $47 to Charlie
- David sends $43 to Alice
- Bob sends $37 to Charlie
- Emily sends $19 to Charlie
- Emily sends $40 to Alice
- Emily sends $13 to Bob
- Emily sends $10 to Alice
==================================================
