Block Hash: 10d8ae7fe3ce1e751a5f07d3ab1dd646ffd97503faa73587cbbf0c0f52abdede
Previous Hash: 1d70dbd02dc40e4402578a602631f0ca6e65c098b0708bb7f762c1d7a1c7dd47
Merkle Root: 9c42fbb8ffeabdb24b406774fa6fcea5f74d25c0f10adefc6394c2753102df93
Random Number: 959861820
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Alice sends $40 to Bob
- David sends $37 to Charlie
- David sends $12 to Alice
- Charlie sends $33 to Emily
- Bob sends $48 to David
- Bob sends $44 to David
- Emily sends $11 to David
- Bob sends $14 to Charlie
- David sends $24 to Alice
- Emily sends $19 to Charlie
==================================================
