Block Hash: 831aeaa41cd1604a310b70dba5ea47a5334f077a08caad1e1c8ec2c536645b92
Previous Hash: e16cf884a2e73eeca39a7494fbf1f940eaee653491a5af24be5d8171cefd5aea
Merkle Root: 44704432fc21e635d759586d51a8a2e929b9cc87d20666ccccf0a1ed0a71cbbe
Random Number: 214822981
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- David sends $20 to Bob
- Charlie sends $11 to David
- Bob sends $30 to Charlie
- Alice sends $29 to Emily
- Emily sends $28 to Charlie
- Alice sends $15 to Emily
- Emily sends $21 to David
- Charlie sends $21 to Alice
- Emily sends $24 to Charlie
- Alice sends $19 to Emily
==================================================
