Block Hash: 3bef479e057b73550e95af1fab8547a641d35feccbd234584a7b52c1cec43015
Previous Hash: f97e6c8f96dbbbbcad339833c6298bbd1f997e750314b8ba834901a15312d3fe
Merkle Root: 5a5b8d844f79c22358204fb74dd19862e4b5c3993c78faca7559b2e647c8a4da
Random Number: 66860606
Forward Hash: 0
Timestamp: 2023-11-17 11:12:57
Transactions:
- David sends $36 to Bob
- Alice sends $14 to Emily
- Bob sends $20 to David
- Alice sends $45 to Charlie
- Bob sends $39 to Alice
- Emily sends $48 to Alice
- Charlie sends $49 to Alice
- Alice sends $30 to Charlie
- Bob sends $32 to Emily
- Bob sends $11 to Emily
==================================================
