Block Hash: d379ca4d6a0bb8824d15aa5f65b7fe611f868037fa937c007caa0aa2a73000b6
Previous Hash: 18f40f5864a430d8d3e290ac0ce4bdc599e4a2dd5d8e5e9121307c40a6d49729
Merkle Root: b38a985b4ce6e19dd83e956426e14da1fa33496881f39316068e9c997771f3c2
Random Number: 902792917
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Emily sends $45 to Alice
- Bob sends $30 to Emily
- Charlie sends $25 to Bob
- Bob sends $44 to Charlie
- Alice sends $24 to Bob
- Bob sends $33 to Emily
- Bob sends $48 to Emily
- Charlie sends $47 to David
- Alice sends $13 to Emily
- David sends $14 to Bob
==================================================
