Block Hash: 138ee553453724d21f07955adab55f7bcac567d005407236ae7c312bf07f1df6
Previous Hash: 640ea36d435f13da21f1a2b433b530b0487b257a450daebe8e9c74c42c8178ea
Merkle Root: 7f0eb103e3867e0fad6dcab755a35d42d6412b81a6ca2d73f81292dc0c866d98
Random Number: 786675015
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Emily sends $46 to Bob
- David sends $29 to Alice
- David sends $18 to Emily
- Charlie sends $31 to Emily
- Bob sends $20 to Emily
- Bob sends $36 to Charlie
- Bob sends $21 to Alice
- David sends $21 to Emily
- Alice sends $35 to Emily
- Charlie sends $42 to Alice
==================================================
