Block Hash: 85f5a765b3b6a1c995e1fc79d6d181cf4fb906f7a9a494b19ee60b5d79d780a6
Previous Hash: 160d0e3f16a28ac68d7c51e19ab938a24a92308f64e59136933e1f6104064b63
Merkle Root: 8249384a3304c749e185266008024a4ebe31d6b9c2d53d77c152d3384be2ca68
Random Number: 485827322
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Charlie sends $41 to David
- Alice sends $47 to Emily
- Alice sends $44 to Emily
- Emily sends $23 to Bob
- Bob sends $20 to Emily
- Bob sends $49 to Alice
- Alice sends $13 to Charlie
- Emily sends $19 to Bob
- David sends $27 to Emily
- David sends $11 to Alice
==================================================
