Block Hash: 86dd960e0410f94876e9244ae2c12b1c7c4a4b63fd24f7c40aaea29bd321c374
Previous Hash: 70c52dd9929bd411763a2c010fd89392a150d0aa3037f705d0a93542f7404bba
Merkle Root: 6ecc9b0e1aea8d9341de244d191477489355e273bf380464fa4ae497cfe7efcb
Random Number: 311904201
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $12 to Emily
- Bob sends $49 to Alice
- Emily sends $11 to Bob
- Alice sends $41 to Charlie
- Bob sends $22 to David
- Bob sends $30 to Alice
- Bob sends $26 to Charlie
- Emily sends $12 to Bob
- Alice sends $43 to David
- Emily sends $43 to Alice
==================================================
