Block Hash: 0db057a61475e6cbd45078f811fa2941bc6cae34e7852e829112d78db0ea802d
Previous Hash: 5158182a2edc8cc4ec222f2694583685db01a6a70d193f0530deef796c965e72
Merkle Root: 95648a11ca328056f50124fada750581ec9bef559461db10f8a7b6ac81477cd8
Random Number: 112876878
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Emily sends $25 to Bob
- Bob sends $16 to Alice
- David sends $30 to Alice
- David sends $37 to Emily
- Alice sends $43 to Emily
- Charlie sends $30 to David
- Bob sends $29 to David
- Alice sends $28 to Emily
- Charlie sends $36 to David
- David sends $41 to Alice
==================================================
