Block Hash: 9aa3caf75e14bdd9be4b627bdf7eb61799ce9e0b06e10448b0e71a38fb3a0420
Previous Hash: 5d2c3a8369a58f86271779deaf1216bc2b8bb3d3ec532e943cd114924899d153
Merkle Root: 211d0b6aa02ec2122d175c9bc9814daa541cf0de24e63f7716e116d638e5f8b3
Random Number: 928230446
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $46 to Alice
- Charlie sends $20 to David
- Alice sends $18 to David
- Emily sends $31 to Charlie
- Alice sends $44 to Charlie
- Alice sends $19 to Bob
- Emily sends $17 to Bob
- Charlie sends $24 to Bob
- Emily sends $10 to David
- Bob sends $29 to Emily
==================================================
