Block Hash: 3455b277d411726b4ca5f861cc4dc547bed904c59b4656d482e61d28e569c5a4
Previous Hash: 4afff5026e850afd136a714541e45b4e1627dacfa5735083edb524cc87462dbc
Merkle Root: b7b013f3d19c7656f1db6ed6eff8418d803b820935f49a0c180bf2067667bb7e
Random Number: 44919108
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Bob sends $15 to David
- Alice sends $31 to Bob
- Alice sends $11 to Bob
- Charlie sends $45 to Emily
- David sends $31 to Emily
- Emily sends $23 to Bob
- David sends $26 to Emily
- Charlie sends $41 to Alice
- David sends $38 to Emily
- David sends $31 to Alice
==================================================
