Block Hash: d7fbbf27b3a93ebe0a497451e331b65ca527617a888e0f255020a5efcbd75079
Previous Hash: 20fd5a46986274a28ed171ec7eb132f01baeb4a8d7c6fb18eb3ea6079458fb65
Merkle Root: 330702c10692dd0c4ca4f523f086402708dd905f22fdd96a6cdcead8868cbc04
Random Number: 446907480
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- David sends $17 to Charlie
- Charlie sends $46 to Alice
- Emily sends $47 to David
- Emily sends $20 to David
- Charlie sends $18 to Alice
- Alice sends $10 to Bob
- Emily sends $44 to David
- Bob sends $42 to Alice
- Alice sends $47 to David
- Emily sends $15 to David
==================================================
